Time PAO1_ac_2min_Count PAO1_ac_2min_Conc Acetate_Count Acetate_Conc PAO1_ac_2min_Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77069 2.4 0 0
6 4 0.02 77059 2.4 0 0
8 4 0.02 77048 2.4 0 0
10 4 0.02 77036 2.4 0 0
12 4 0.02 77024 2.4 0 0
14 4 0.02 77013 2.4 0 0
16 4 0.02 77001 2.4 0 0
18 4 0.02 76989 2.4 0 0
20 4 0.02 76977 2.4 0 0
22 4 0.02 76964 2.4 0 0
24 4 0.02 76952 2.4 0 0
26 4 0.02 76939 2.4 0 0
28 4 0.03 76925 2.4 0 0
30 4 0.03 76909 2.39 0 0
32 4 0.03 76894 2.39 0 0
34 4 0.03 76879 2.39 0 0
36 4 0.03 76863 2.39 0 0
38 4 0.03 76847 2.39 0 0
40 4 0.03 76831 2.39 0 0
42 4 0.03 76815 2.39 0 0
44 4 0.03 76798 2.39 0 0
46 4 0.03 76782 2.39 0 0
48 4 0.03 76766 2.39 0 0
50 4 0.03 76747 2.39 0 0
52 4 0.03 76729 2.39 0 0
54 4 0.03 76710 2.39 0 0
56 4 0.03 76691 2.39 0 0
58 4 0.03 76671 2.39 0 0
60 4 0.03 76650 2.39 0 0
62 4 0.04 76629 2.39 0 0
64 4 0.04 76609 2.39 0 0
66 4 0.04 76588 2.38 0 0
68 4 0.04 76566 2.38 0 0
70 4 0.04 76544 2.38 0 0
72 8 0.04 76521 2.38 0 0
74 8 0.04 76498 2.38 0 0
76 8 0.04 76474 2.38 0 0
78 8 0.04 76453 2.38 0 0
80 8 0.04 76432 2.38 0 0
82 8 0.04 76408 2.38 0 0
84 8 0.04 76384 2.38 0 0
86 8 0.05 76360 2.38 0 0
88 8 0.05 76335 2.38 0 0
90 8 0.05 76311 2.38 0 0
92 8 0.05 76286 2.38 0 0
94 8 0.05 76259 2.37 0 0
96 8 0.05 76231 2.37 0 0
98 8 0.05 76202 2.37 0 0
100 8 0.05 76172 2.37 0 0
102 8 0.05 76143 2.37 0 0
104 8 0.05 76113 2.37 0 0
106 8 0.06 76083 2.37 0 0
108 8 0.06 76051 2.37 0 0
110 8 0.06 76020 2.37 0 0
112 8 0.06 75986 2.37 0 0
114 8 0.06 75952 2.36 0 0
116 8 0.06 75920 2.36 0 0
118 8 0.06 75887 2.36 0 0
120 8 0.06 75852 2.36 0 0
122 8 0.06 75815 2.36 0 0
124 8 0.07 75777 2.36 0 0
126 8 0.07 75737 2.36 0 0
128 8 0.07 75693 2.36 0 0
130 8 0.07 75653 2.36 0 0
132 8 0.07 75612 2.35 0 0
134 8 0.07 75567 2.35 0 0
136 8 0.07 75525 2.35 0 0
138 8 0.08 75481 2.35 0 0
140 14 0.08 75438 2.35 0 0
142 16 0.08 75394 2.35 0 0
144 16 0.08 75350 2.35 0 0
146 16 0.08 75303 2.34 0 0
148 16 0.08 75255 2.34 0 0
150 16 0.09 75207 2.34 0 0
152 16 0.09 75159 2.34 0 0
154 16 0.09 75111 2.34 0 0
156 16 0.09 75062 2.34 0 0
158 16 0.09 75011 2.34 0 0
160 16 0.09 74960 2.33 0 0
162 16 0.1 74910 2.33 0 0
164 16 0.1 74854 2.33 0 0
166 16 0.1 74803 2.33 0 0
168 16 0.1 74747 2.33 0 0
170 16 0.1 74687 2.33 0 0
172 16 0.11 74628 2.32 0 0
174 16 0.11 74566 2.32 0 0
176 16 0.11 74503 2.32 0 0
178 16 0.11 74439 2.32 0 0
180 16 0.12 74371 2.32 0 0
182 16 0.12 74305 2.31 0 0
184 16 0.12 74239 2.31 0 0
186 16 0.12 74170 2.31 0 0
188 16 0.13 74099 2.31 0 0
190 16 0.13 74028 2.31 0 0
192 16 0.13 73955 2.3 0 0
194 16 0.13 73880 2.3 0 0
196 16 0.14 73799 2.3 0 0
198 16 0.14 73722 2.3 0 0
200 16 0.14 73641 2.29 0 0
202 16 0.14 73560 2.29 0 0
204 16 0.15 73478 2.29 0 0
206 16 0.15 73394 2.29 0 0
208 17 0.15 73302 2.28 0 0
210 32 0.16 73214 2.28 0 0
212 32 0.16 73127 2.28 0 0
214 32 0.16 73036 2.27 0 0
216 32 0.17 72946 2.27 0 0
218 32 0.17 72855 2.27 0 0
220 32 0.17 72761 2.27 0 0
222 32 0.18 72666 2.26 0 0
224 32 0.18 72569 2.26 0 0
226 32 0.18 72472 2.26 0 0
228 32 0.19 72369 2.25 0 0
230 32 0.19 72269 2.25 0 0
232 32 0.19 72165 2.25 0 0
234 32 0.2 72053 2.24 0 0
236 32 0.2 71941 2.24 0 0
238 32 0.21 71824 2.24 0 0
