Time PAO1_Count PAO1_Conc Acetate_Count Acetate_Conc PAO1_Died bacteria_couldn't_eat
0 5 0.02 77081 2.4 0 0
1 5 0.02 77081 2.4 0 0
2 5 0.02 77076 2.4 0 0
3 5 0.02 77070 2.4 0 0
4 5 0.02 77064 2.4 0 0
5 5 0.03 77059 2.4 0 0
6 5 0.03 77054 2.4 0 0
7 5 0.03 77049 2.4 0 0
8 5 0.03 77044 2.4 0 0
9 5 0.03 77039 2.4 0 0
10 5 0.03 77034 2.4 0 0
11 5 0.03 77029 2.4 0 0
12 5 0.03 77024 2.4 0 0
13 5 0.03 77019 2.4 0 0
14 5 0.03 77014 2.4 0 0
15 5 0.03 77009 2.4 0 0
16 5 0.03 77001 2.4 0 0
17 5 0.03 76996 2.4 0 0
18 5 0.03 76991 2.4 0 0
19 5 0.03 76986 2.39 0 0
20 5 0.03 76980 2.39 0 0
21 5 0.03 76975 2.39 0 0
22 5 0.03 76970 2.39 0 0
23 5 0.03 76963 2.39 0 0
24 5 0.03 76956 2.39 0 0
25 5 0.03 76949 2.39 0 0
26 5 0.03 76943 2.39 0 0
27 5 0.03 76937 2.39 0 0
28 5 0.03 76930 2.39 0 0
29 5 0.03 76924 2.39 0 0
30 5 0.03 76915 2.39 0 0
31 5 0.03 76909 2.39 0 0
32 5 0.03 76901 2.39 0 0
33 5 0.03 76895 2.39 0 0
34 5 0.03 76888 2.39 0 0
35 5 0.03 76880 2.39 0 0
36 5 0.03 76872 2.39 0 0
37 5 0.03 76863 2.39 0 0
38 5 0.03 76853 2.39 0 0
39 5 0.03 76844 2.39 0 0
40 5 0.03 76836 2.39 0 0
41 5 0.03 76827 2.39 0 0
42 5 0.03 76818 2.39 0 0
43 5 0.03 76810 2.39 0 0
44 5 0.04 76801 2.39 0 0
45 5 0.04 76792 2.39 0 0
46 5 0.04 76783 2.39 0 0
47 5 0.04 76773 2.39 0 0
48 5 0.04 76763 2.39 0 0
49 5 0.04 76753 2.39 0 0
50 5 0.04 76743 2.39 0 0
51 5 0.04 76733 2.39 0 0
52 5 0.04 76723 2.39 0 0
53 5 0.04 76713 2.39 0 0
54 5 0.04 76703 2.39 0 0
55 5 0.04 76693 2.39 0 0
56 5 0.04 76682 2.39 0 0
57 5 0.04 76672 2.39 0 0
58 5 0.04 76662 2.38 0 0
59 5 0.04 76652 2.38 0 0
60 5 0.04 76641 2.38 0 0
61 5 0.04 76631 2.38 0 0
62 5 0.04 76620 2.38 0 0
63 5 0.04 76609 2.38 0 0
64 5 0.04 76598 2.38 0 0
65 5 0.04 76587 2.38 0 0
66 5 0.04 76576 2.38 0 0
67 5 0.04 76565 2.38 0 0
68 5 0.04 76555 2.38 0 0
69 5 0.04 76544 2.38 0 0
70 5 0.05 76531 2.38 0 0
71 5 0.05 76519 2.38 0 0
72 5 0.05 76506 2.38 0 0
73 5 0.05 76494 2.38 0 0
74 5 0.05 76481 2.38 0 0
75 5 0.05 76469 2.38 0 0
76 6 0.05 76455 2.38 0 0
77 7 0.05 76443 2.38 0 0
78 10 0.05 76430 2.38 0 0
79 10 0.05 76420 2.38 0 0
80 10 0.05 76410 2.38 0 0
81 10 0.05 76400 2.38 0 0
82 10 0.05 76390 2.38 0 0
83 10 0.05 76380 2.38 0 0
84 10 0.05 76369 2.38 0 0
85 10 0.05 76357 2.38 0 0
86 10 0.05 76346 2.38 0 0
87 10 0.05 76335 2.37 0 0
88 10 0.05 76325 2.37 0 0
89 10 0.05 76316 2.37 0 0
90 10 0.05 76306 2.37 0 0
91 10 0.05 76295 2.37 0 0
92 10 0.05 76283 2.37 0 0
93 10 0.06 76272 2.37 0 0
94 10 0.06 76260 2.37 0 0
95 10 0.06 76249 2.37 0 0
96 10 0.06 76238 2.37 0 0
97 10 0.06 76223 2.37 0 0
98 10 0.06 76211 2.37 0 0
99 10 0.06 76201 2.37 0 0
100 10 0.06 76187 2.37 0 0
101 10 0.06 76173 2.37 0 0
102 10 0.06 76159 2.37 0 0
103 10 0.06 76144 2.37 0 0
104 10 0.06 76131 2.37 0 0
105 10 0.06 76116 2.37 0 0
106 10 0.06 76104 2.37 0 0
107 10 0.06 76087 2.37 0 0
108 10 0.06 76072 2.37 0 0
109 10 0.06 76057 2.37 0 0
110 10 0.06 76043 2.37 0 0
111 10 0.06 76028 2.37 0 0
112 10 0.07 76012 2.36 0 0
113 10 0.07 75997 2.36 0 0
114 10 0.07 75979 2.36 0 0
115 10 0.07 75962 2.36 0 0
116 10 0.07 75942 2.36 0 0
117 10 0.07 75924 2.36 0 0
118 10 0.07 75907 2.36 0 0
119 10 0.07 75889 2.36 0 0
120 10 0.07 75873 2.36 0 0
121 10 0.07 75853 2.36 0 0
122 10 0.07 75834 2.36 0 0
123 10 0.07 75815 2.36 0 0
124 10 0.07 75795 2.36 0 0
125 10 0.07 75775 2.36 0 0
126 10 0.07 75756 2.36 0 0
127 10 0.08 75737 2.36 0 0
128 10 0.08 75717 2.36 0 0
129 10 0.08 75697 2.36 0 0
130 10 0.08 75676 2.35 0 0
131 10 0.08 75656 2.35 0 0
132 10 0.08 75636 2.35 0 0
133 10 0.08 75616 2.35 0 0
134 10 0.08 75596 2.35 0 0
135 10 0.08 75576 2.35 0 0
136 10 0.08 75557 2.35 0 0
137 10 0.08 75536 2.35 0 0
138 10 0.08 75515 2.35 0 0
139 10 0.08 75493 2.35 0 0
140 10 0.09 75471 2.35 0 0
141 10 0.09 75451 2.35 0 0
142 10 0.09 75428 2.35 0 0
143 10 0.09 75406 2.35 0 0
144 10 0.09 75383 2.35 0 0
145 10 0.09 75361 2.34 0 0
146 10 0.09 75340 2.34 0 0
147 10 0.09 75319 2.34 0 0
148 10 0.09 75292 2.34 0 0
149 10 0.09 75270 2.34 0 0
150 10 0.09 75245 2.34 0 0
151 10 0.09 75223 2.34 0 0
152 13 0.1 75200 2.34 0 0
153 15 0.1 75179 2.34 0 0
154 17 0.1 75157 2.34 0 0
155 20 0.1 75135 2.34 0 0
156 20 0.1 75115 2.34 0 0
157 20 0.1 75095 2.34 0 0
158 20 0.1 75074 2.34 0 0
159 20 0.1 75054 2.33 0 0
160 20 0.1 75034 2.33 0 0
161 20 0.1 75014 2.33 0 0
162 20 0.1 74994 2.33 0 0
163 20 0.11 74974 2.33 0 0
164 20 0.11 74952 2.33 0 0
165 20 0.11 74930 2.33 0 0
166 20 0.11 74909 2.33 0 0
167 20 0.11 74887 2.33 0 0
168 20 0.11 74866 2.33 0 0
169 20 0.11 74843 2.33 0 0
170 20 0.11 74819 2.33 0 0
171 20 0.11 74798 2.33 0 0
172 20 0.11 74774 2.33 0 0
173 20 0.11 74750 2.33 0 0
174 20 0.12 74723 2.32 0 0
175 20 0.12 74696 2.32 0 0
176 20 0.12 74672 2.32 0 0
177 20 0.12 74644 2.32 0 0
178 20 0.12 74618 2.32 0 0
179 20 0.12 74593 2.32 0 0
180 20 0.12 74567 2.32 0 0
181 20 0.12 74540 2.32 0 0
182 20 0.12 74512 2.32 0 0
183 20 0.12 74483 2.32 0 0
184 20 0.13 74457 2.32 0 0
185 20 0.13 74423 2.32 0 0
186 20 0.13 74393 2.31 0 0
187 20 0.13 74359 2.31 0 0
188 20 0.13 74336 2.31 0 0
189 20 0.13 74305 2.31 0 0
190 20 0.13 74273 2.31 0 0
191 20 0.13 74239 2.31 0 0
192 20 0.14 74203 2.31 0 0
193 20 0.14 74167 2.31 0 0
194 20 0.14 74136 2.31 0 0
195 20 0.14 74098 2.31 0 0
196 20 0.14 74062 2.3 0 0
197 20 0.14 74023 2.3 0 0
198 20 0.14 73985 2.3 0 0
199 20 0.14 73949 2.3 0 0
200 20 0.15 73910 2.3 0 0
201 20 0.15 73871 2.3 0 0
202 20 0.15 73834 2.3 0 0
203 20 0.15 73797 2.3 0 0
204 20 0.15 73756 2.29 0 0
205 20 0.15 73717 2.29 0 0
206 20 0.15 73677 2.29 0 0
207 20 0.16 73637 2.29 0 0
208 20 0.16 73596 2.29 0 0
209 20 0.16 73555 2.29 0 0
210 20 0.16 73515 2.29 0 0
211 20 0.16 73475 2.29 0 0
212 20 0.16 73434 2.28 0 0
213 20 0.17 73393 2.28 0 0
214 20 0.17 73350 2.28 0 0
