Time PAO1_Count PAO1_Conc Acetate_Count Acetate_Conc PAO1_Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.03 76931 2.4 0 0
6 4 0.03 76730 2.39 0 0
8 8 0.05 76457 2.38 0 0
10 8 0.06 76093 2.37 0 0
12 16 0.08 75610 2.36 0 0
14 16 0.11 74962 2.34 0 0
16 16 0.15 74096 2.31 0 0
18 32 0.19 72979 2.27 0 0
20 32 0.26 71458 2.23 0 0
22 60 0.34 69501 2.17 0 0
24 64 0.46 66843 2.08 0 0
26 111 0.6 63443 1.98 0 0
28 125 0.79 59040 1.84 0 1
30 128 1.03 53516 1.67 0 4
32 199 1.28 47615 1.48 0 7
34 214 1.5 42319 1.32 0 36
36 245 1.69 37842 1.18 0 56
38 264 1.83 34286 1.07 0 84
40 274 1.98 30832 0.96 0 103
42 302 2.12 27295 0.85 0 132
44 325 2.27 23816 0.74 0 150
46 347 2.42 20160 0.63 0 164
48 371 2.58 16371 0.51 0 189
50 395 2.75 12241 0.38 0 211
52 421 2.92 8062 0.25 0 220
54 439 3.09 4069 0.13 0 258
56 460 3.22 897 0.03 0 286
58 465 3.25 9 0.0 0 339
60 465 3.25 0 0.0 0 456
62 465 3.25 0 0.0 0 465
64 465 3.25 0 0.0 0 465
66 465 3.25 0 0.0 0 465
68 465 3.25 0 0.0 0 465
70 465 3.25 0 0.0 0 465
72 465 3.25 0 0.0 0 465
74 465 3.25 0 0.0 0 465
76 465 3.25 0 0.0 0 465
78 465 3.25 0 0.0 0 465
80 465 3.25 0 0.0 0 465
82 465 3.25 0 0.0 0 465
84 465 3.25 0 0.0 0 465
86 465 3.25 0 0.0 0 465
88 465 3.25 0 0.0 0 465
90 465 3.25 0 0.0 0 465
92 465 3.25 0 0.0 0 465
94 465 3.25 0 0.0 0 465
96 465 3.25 0 0.0 0 465
98 465 3.25 0 0.0 0 465
100 465 3.25 0 0.0 0 465
102 465 3.25 0 0.0 0 465
104 465 3.25 0 0.0 0 465
106 465 3.25 0 0.0 0 465
108 465 3.25 0 0.0 0 465
110 465 3.25 0 0.0 0 465
112 465 3.25 0 0.0 0 465
114 465 3.25 0 0.0 0 465
116 465 3.25 0 0.0 0 465
118 465 3.25 0 0.0 0 465
120 465 3.25 0 0.0 0 465
122 465 3.25 0 0.0 0 465
124 465 3.25 0 0.0 0 465
126 465 3.25 0 0.0 0 465
128 465 3.25 0 0.0 0 465
130 465 3.25 0 0.0 0 465
132 465 3.25 0 0.0 0 465
134 465 3.25 0 0.0 0 465
136 465 3.25 0 0.0 0 465
138 465 3.25 0 0.0 0 465
140 465 3.25 0 0.0 0 465
142 465 3.25 0 0.0 0 465
144 465 3.25 0 0.0 0 465
146 465 3.25 0 0.0 0 465
148 465 3.25 0 0.0 0 465
150 465 3.25 0 0.0 0 465
152 465 3.25 0 0.0 0 465
154 465 3.25 0 0.0 0 465
156 465 3.25 0 0.0 0 465
158 465 3.25 0 0.0 0 465
160 465 3.25 0 0.0 0 465
162 465 3.25 0 0.0 0 465
164 465 3.25 0 0.0 0 465
166 465 3.25 0 0.0 0 465
168 465 3.25 0 0.0 0 465
170 465 3.25 0 0.0 0 465
172 465 3.25 0 0.0 0 465
174 465 3.25 0 0.0 0 465
176 465 3.25 0 0.0 0 465
178 465 3.25 0 0.0 0 465
180 465 3.25 0 0.0 0 465
182 465 3.25 0 0.0 0 465
184 465 3.25 0 0.0 0 465
186 465 3.25 0 0.0 0 465
188 465 3.25 0 0.0 0 465
190 465 3.25 0 0.0 0 465
192 465 3.25 0 0.0 0 465
194 465 3.25 0 0.0 0 465
196 465 3.25 0 0.0 0 465
198 465 3.25 0 0.0 0 465
200 465 3.25 0 0.0 0 465
202 465 3.25 0 0.0 0 465
204 465 3.25 0 0.0 0 465
206 465 3.25 0 0.0 0 465
208 465 3.25 0 0.0 0 465
210 465 3.25 0 0.0 0 465
212 465 3.25 0 0.0 0 465
214 465 3.25 0 0.0 0 465
216 465 3.25 0 0.0 0 465
218 465 3.25 0 0.0 0 465
220 465 3.25 0 0.0 0 465
222 465 3.25 0 0.0 0 465
224 465 3.25 0 0.0 0 465
226 465 3.25 0 0.0 0 465
228 465 3.25 0 0.0 0 465
230 465 3.25 0 0.0 0 465
232 465 3.25 0 0.0 0 465
234 465 3.25 0 0.0 0 465
236 465 3.25 0 0.0 0 465
238 465 3.25 0 0.0 0 465
240 465 3.25 0 0.0 0 465
242 465 3.25 0 0.0 0 465
244 465 3.25 0 0.0 0 465
246 465 3.25 0 0.0 0 465
248 465 3.25 0 0.0 0 465
250 465 3.25 0 0.0 0 465
