Time PAO1_Count PAO1_Conc Acetate_Count Acetate_Conc PAO1_Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77072 2.4 0 0
6 4 0.02 77060 2.4 0 0
8 4 0.02 77048 2.4 0 0
10 4 0.02 77036 2.4 0 0
12 4 0.02 77025 2.4 0 0
14 4 0.02 77013 2.4 0 0
16 4 0.02 77001 2.4 0 0
18 4 0.02 76988 2.4 0 0
20 4 0.02 76975 2.4 0 0
22 4 0.02 76960 2.4 0 0
24 4 0.02 76946 2.4 0 0
26 4 0.02 76931 2.4 0 0
28 4 0.03 76916 2.4 0 0
30 4 0.03 76902 2.39 0 0
32 4 0.03 76888 2.39 0 0
34 4 0.03 76872 2.39 0 0
36 4 0.03 76856 2.39 0 0
38 4 0.03 76840 2.39 0 0
40 4 0.03 76824 2.39 0 0
42 4 0.03 76807 2.39 0 0
44 4 0.03 76791 2.39 0 0
46 4 0.03 76775 2.39 0 0
48 4 0.03 76757 2.39 0 0
50 4 0.03 76739 2.39 0 0
52 4 0.03 76718 2.39 0 0
54 4 0.03 76699 2.39 0 0
56 4 0.03 76678 2.39 0 0
58 4 0.03 76658 2.39 0 0
60 4 0.04 76638 2.39 0 0
62 4 0.04 76618 2.39 0 0
64 4 0.04 76595 2.39 0 0
66 4 0.04 76573 2.38 0 0
68 6 0.04 76550 2.38 0 0
70 8 0.04 76527 2.38 0 0
72 8 0.04 76504 2.38 0 0
74 8 0.04 76481 2.38 0 0
76 8 0.04 76456 2.38 0 0
78 8 0.04 76435 2.38 0 0
80 8 0.04 76411 2.38 0 0
82 8 0.04 76386 2.38 0 0
84 8 0.05 76362 2.38 0 0
86 8 0.05 76338 2.38 0 0
88 8 0.05 76311 2.38 0 0
90 8 0.05 76287 2.38 0 0
92 8 0.05 76259 2.37 0 0
94 8 0.05 76230 2.37 0 0
96 8 0.05 76201 2.37 0 0
98 8 0.05 76170 2.37 0 0
100 8 0.05 76139 2.37 0 0
102 8 0.06 76106 2.37 0 0
104 8 0.06 76073 2.37 0 0
106 8 0.06 76040 2.37 0 0
108 8 0.06 76007 2.37 0 0
110 8 0.06 75972 2.37 0 0
112 8 0.06 75940 2.37 0 0
114 8 0.06 75903 2.36 0 0
116 8 0.06 75866 2.36 0 0
118 8 0.07 75828 2.36 0 0
120 8 0.07 75790 2.36 0 0
122 8 0.07 75751 2.36 0 0
124 8 0.07 75710 2.36 0 0
126 8 0.07 75667 2.36 0 0
128 8 0.07 75625 2.36 0 0
130 8 0.07 75585 2.35 0 0
132 8 0.08 75542 2.35 0 0
134 13 0.08 75497 2.35 0 0
136 16 0.08 75451 2.35 0 0
138 16 0.08 75404 2.35 0 0
140 16 0.08 75359 2.35 0 0
142 16 0.08 75313 2.35 0 0
144 16 0.09 75265 2.34 0 0
146 16 0.09 75217 2.34 0 0
148 16 0.09 75169 2.34 0 0
150 16 0.09 75120 2.34 0 0
152 16 0.09 75070 2.34 0 0
154 16 0.1 75019 2.34 0 0
156 16 0.1 74968 2.34 0 0
158 16 0.1 74915 2.33 0 0
160 16 0.1 74862 2.33 0 0
162 16 0.1 74804 2.33 0 0
164 16 0.11 74748 2.33 0 0
166 16 0.11 74688 2.33 0 0
168 16 0.11 74627 2.32 0 0
170 16 0.11 74563 2.32 0 0
172 16 0.11 74500 2.32 0 0
174 16 0.12 74436 2.32 0 0
176 16 0.12 74368 2.32 0 0
178 16 0.12 74299 2.31 0 0
180 16 0.12 74228 2.31 0 0
182 16 0.13 74157 2.31 0 0
184 16 0.13 74086 2.31 0 0
186 16 0.13 74011 2.31 0 0
188 16 0.14 73933 2.3 0 0
190 16 0.14 73853 2.3 0 0
192 16 0.14 73772 2.3 0 0
194 16 0.14 73687 2.3 0 0
196 16 0.15 73602 2.29 0 0
198 17 0.15 73514 2.29 0 0
200 21 0.15 73424 2.29 0 0
202 30 0.16 73336 2.28 0 0
204 32 0.16 73251 2.28 0 0
206 32 0.16 73162 2.28 0 0
208 32 0.17 73067 2.28 0 0
210 32 0.17 72974 2.27 0 0
212 32 0.17 72879 2.27 0 0
214 32 0.18 72784 2.27 0 0
216 32 0.18 72686 2.26 0 0
218 32 0.19 72586 2.26 0 0
220 32 0.19 72484 2.26 0 0
222 32 0.19 72379 2.25 0 0
224 32 0.2 72269 2.25 0 0
226 32 0.2 72155 2.25 0 0
228 32 0.21 72045 2.24 0 0
230 32 0.21 71926 2.24 0 0
232 32 0.21 71807 2.24 0 0
234 32 0.22 71679 2.23 0 0
236 32 0.22 71556 2.23 0 0
238 32 0.23 71428 2.22 0 0
