Time PAO1_Count PAO1_Conc Glycerol_Count Glycerol_Conc PAO1_Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.21 57794 2.76 0 0
6 43 0.21 57762 2.76 0 0
8 43 0.22 57732 2.76 0 0
10 43 0.22 57698 2.75 0 0
12 43 0.22 57667 2.75 0 0
14 43 0.22 57637 2.75 0 0
16 43 0.23 57610 2.75 0 0
18 43 0.23 57570 2.75 0 0
20 43 0.23 57535 2.75 0 0
22 43 0.24 57502 2.75 0 0
24 43 0.24 57465 2.74 0 0
26 43 0.24 57424 2.74 0 0
28 43 0.24 57387 2.74 0 0
30 43 0.25 57346 2.74 0 0
32 43 0.25 57308 2.74 0 0
34 43 0.25 57266 2.73 0 0
36 43 0.26 57227 2.73 0 0
38 43 0.26 57184 2.73 0 0
40 43 0.26 57149 2.73 0 0
42 43 0.27 57102 2.73 0 0
44 43 0.27 57058 2.72 0 0
46 43 0.27 57015 2.72 0 0
48 43 0.28 56974 2.72 0 0
50 43 0.28 56932 2.72 0 0
52 43 0.29 56886 2.72 0 0
54 43 0.29 56843 2.71 0 0
56 43 0.29 56800 2.71 0 0
58 43 0.3 56759 2.71 0 0
60 43 0.3 56714 2.71 0 0
62 43 0.3 56671 2.71 0 0
64 43 0.31 56629 2.7 0 0
66 43 0.31 56585 2.7 0 0
68 43 0.31 56542 2.7 0 0
70 43 0.32 56499 2.7 0 0
72 43 0.32 56456 2.7 0 0
74 43 0.32 56413 2.69 0 0
76 43 0.33 56370 2.69 0 0
78 43 0.33 56327 2.69 0 0
80 43 0.34 56282 2.69 0 0
82 43 0.34 56239 2.69 0 0
84 43 0.34 56195 2.68 0 0
86 43 0.35 56152 2.68 0 0
88 43 0.35 56108 2.68 0 0
90 43 0.35 56063 2.68 0 0
92 43 0.36 56019 2.67 0 0
94 43 0.36 55976 2.67 0 0
96 43 0.36 55931 2.67 0 0
98 43 0.37 55881 2.67 0 0
100 43 0.37 55836 2.67 0 0
102 43 0.38 55789 2.66 0 0
104 43 0.38 55744 2.66 0 0
106 43 0.38 55699 2.66 0 0
108 43 0.39 55650 2.66 0 0
110 43 0.39 55605 2.66 0 0
112 43 0.39 55560 2.65 0 0
114 43 0.4 55511 2.65 0 0
116 43 0.4 55463 2.65 0 0
118 43 0.41 55410 2.65 0 0
120 48 0.41 55357 2.64 0 0
122 60 0.41 55309 2.64 0 0
